id,placeId,googlePlaceId,descriptorType,targetPlaceId,targetDisplayName,spatialRelationship,straightLineDistanceMeters,travelDistanceMeters,containment
3765,1859,ChIJFWF2Rfnh9IcRQO0Q9pVNclo,landmark,ChIJEzph9FHh9IcRtg7voNkxbgY,Sleepy Eye Brewing Company,ACROSS_THE_ROAD,26.028015,4.5672836,
3766,1859,ChIJFWF2Rfnh9IcRQO0Q9pVNclo,landmark,ChIJrcvAVAHg9IcRLWq8Dyih3bM,Servicemen's Club,,97.51166,162.04024,
3767,1860,ChIJsRQimEiA9YcRoI8tpYRYvM8,landmark,ChIJKVm9f0WA9YcRqNfYcEX8xNs,CorTrust Bank,,309.28134,394.5359,
3768,1860,ChIJsRQimEiA9YcRoI8tpYRYvM8,landmark,ChIJIW0iak-A9YcRY9s1qm1OPSg,Peace Lutheran Church,,162.39444,263.4392,
3769,1860,ChIJsRQimEiA9YcRoI8tpYRYvM8,landmark,ChIJg4zaUEiA9YcR_Irs-QXLj4A,Grace Lutheran Church,AROUND_THE_CORNER,207.45367,279.33667,
3770,1860,ChIJsRQimEiA9YcRoI8tpYRYvM8,landmark,ChIJ2_qkgU-A9YcRlWrbFMv6mN4,Faith Lutheran Church,,344.72577,403.2477,
3771,1860,ChIJsRQimEiA9YcRoI8tpYRYvM8,landmark,ChIJMcqsYUSA9YcRPXuH0N0UTw4,Groove Street Music Studio,,286.94995,286.815,
3772,1860,ChIJsRQimEiA9YcRoI8tpYRYvM8,area,ChIJCWg-IkaA9YcRXjQtM7-50K8,South Park,,,,OUTSKIRTS
3773,1861,ChIJuxaqtWWA9YcRfs-5hJPDAgw,landmark,ChIJE7H-3G-A9YcRL9E-gBoPAE4,Outpost,,352.54526,423.5583,
3774,1861,ChIJuxaqtWWA9YcRfs-5hJPDAgw,area,ChIJuxaqtWWA9YcRD9q6mYrx8S0,Northwoods Park,,,,OUTSKIRTS
3775,1862,ChIJc7LdHN4B9YcRGd6SXUbhqXU,landmark,ChIJY3u9k94B9YcRyvfZ0rxMorc,DSM-Firmenich New Ulm,,246.73521,498.92563,
