id,parkId,campgroundId,credit,title,altText,caption,url
315,,99,NPS Photo,Cabin Camp 2 Craft Lodge at B Loop,A dark brown wooden cabin with a front porch and stone chimney is among green trees,Cabin Camp 2 Craft Lodge at B Loop,https://www.nps.gov/common/uploads/structured_data/24AF6927-036A-A7B9-A6C87349EACC6E47.jpg
316,,99,NPS Photo,Cabin Camp 2 Ballfield,A fence separates a ballfield from several wooden benches among a grassy field,Cabin Camp 2 Ballfield,https://www.nps.gov/common/uploads/structured_data/24CF4E05-E79F-D4F0-35A4645FBEFC1490.jpg
317,,99,NPS Photo,Cabin Camp 2 Dining Hall,A brown wooden building with a front porch sits among trees. A wayside is on the lawn in front of it,Cabin Camp 2 Dining Hall,https://www.nps.gov/common/uploads/structured_data/24DC0520-D2AD-93B2-ED490DC8029132E4.jpg
318,,99,NPS Photo,Cabin Camp 2 Map,"A map shows the cabin camp split in four units, A through D, and a ball field",Cabin Camp 2 Map,https://www.nps.gov/common/uploads/structured_data/24EEA76B-FCBF-3046-E00D016C93AE5B0A.jpg
319,,100,NPS Photo,Cabin Camp 3 Group Dining Hall,A large brown wooden building is surrounded by tree. A picnic table sits on the lawn in front of it,Cabin Camp 3 Group Dining Hall,https://www.nps.gov/common/uploads/structured_data/26733A27-AA99-E431-9D9F1AC7FD5A9C23.jpg
320,,100,NPS Photo,Cabin Camp 3 Group Sleeper Cabins,Large brown wooden cabins are dispersed through the woods. A gravel road is between them,Cabin Camp 3 Group Sleeper Cabins,https://www.nps.gov/common/uploads/structured_data/2683DA2F-E836-B8AD-A73BC30CB5496FC5.jpg
321,,100,NPS Photo,Cabin Camp Group Craft Lodge,A  dark brown wooden building with a small front porch is among green trees,Cabin Camp Group Craft Lodge,https://www.nps.gov/common/uploads/structured_data/268E0EF9-E6EA-141C-D9D95EF14D074580.jpg
322,,100,NPS Map,Cabin Camp 3 Group Site Map,The C unit is north of the individual cabin rentals. Cabins are arranged in a line,Cabin Camp 3 Group Site Map,https://www.nps.gov/common/uploads/structured_data/9A0370D9-F766-E477-39A75AC28BDAA4D3.jpg
323,,101,NPS Photo,Individual Cabins in A Unit,Wooden cabins with porches and picnic tables shaded by a green forest,Individual Family Cabins in A Unit,https://www.nps.gov/common/uploads/structured_data/9D012B7B-B9CE-3038-5F30E70BC6B46829.jpg
324,,101,NPS Photo,Craft Lodge in A Unit,Large wooden cabin with a brick chimney shaded by a green forest,Craft Lodge in A Unit,https://www.nps.gov/common/uploads/structured_data/9D11642C-A612-3C6C-6373C6043BEBF216.jpg
325,,101,NPS Photo,Cabin A1,Wooden cabin with a porch and screen windows on a sunny day,Cabin A1,https://www.nps.gov/common/uploads/structured_data/9D1FB5F9-F664-4988-2D234E477F069FB2.jpg
326,,101,NPS Map,Cabin Camp 3 map,"Map of Cabin Camp 3 showing the cabin units, parking, and directions to the camp",Map of Cabin Camp 3,https://www.nps.gov/common/uploads/structured_data/9EF6D011-9322-C2BC-1C1EE29F3B0D6747.jpg
327,,102,NPS Photo,Cabin Camp 5 Staff Quarters,A brown wooden building with a brick fireplace sits among trees,Cabin Camp 5 Staff Quarters,https://www.nps.gov/common/uploads/structured_data/2892A37B-9CB2-585F-18726B93916561EA.jpg
328,,102,NPS Photo,Cabin Camp 4 Dining Hall,A wooden building with lots of windows sits among trees,Cabin Camp 4 Dining Hall,https://www.nps.gov/common/uploads/structured_data/289D7C7F-C209-68B3-8AC511D568E69A5C.jpg
329,,102,NPS Photo,Cabin Camp 4 Theater and Gym,A reddish brown wood building with its front door open sits among trees,Cabin Camp 4 Theater and Gym,https://www.nps.gov/common/uploads/structured_data/28A58E83-D860-E4CA-34E19367B1AD9F7A.jpg
330,,102,NPS Photo,Cabin Camp 4 Restrooms,A dark brown wooden building with a green roof sits among trees,Cabin Camp 4 Restrooms,https://www.nps.gov/common/uploads/structured_data/28B1EA82-D775-805B-3C08C476263E94E2.jpg
331,,102,NPS Photo,Cabin Camp 4 Sleeper Cabin,"A dark brown, rectangular wooden cabin sits among green trees with a grassy front lawn",Cabin Camp 4 Sleeper Cabin,https://www.nps.gov/common/uploads/structured_data/28F7D270-ED8C-25E6-0315EA1A3545BF21.jpg
332,,102,NPS Photo,Cabin Camp 4 Craft Lodge Interior,A room with a wood floor and exposed wood rafters has a brick fireplace and benches around the edges,Cabin Camp 4 Craft Lodge Interior,https://www.nps.gov/common/uploads/structured_data/290DBFB7-AC04-69E2-998E0B9DF60EF628.jpg
333,,102,NPS Photo,Cabin Camp 4 Map,"Cabins are split into five units, A through E, with a play field in the center of them",Cabin Camp 4 Map,https://www.nps.gov/common/uploads/structured_data/296670F4-05FA-C3E8-AFBBBD5E9AD21E61.jpg
334,,103,NPS Photo,Cabin Camp 5 Infirmary,A dark brown wooden building with a ramp stands among trees with a grassy lawn,Cabin Camp 5 Infirmary,https://www.nps.gov/common/uploads/structured_data/2A11C943-C2C2-37A2-2BF5B01CA01A79E0.jpg
